H2O2_uM,fold_enhancement,k2_eff_Minv_sinv,t5_seconds,t5_minutes
0.05196597302486197,3,30.0,32901.84672895502,548.3641121492503
0.05318051128214197,3,30.0,32150.43327646913,535.8405546078188
0.05442343548300272,3,30.0,31416.180629005106,523.6030104834184
0.05569540905800136,3,30.0,30698.6968675363,511.64494779227164
0.05699711094326075,3,30.0,29997.599023695435,499.95998372825727
0.05832923594286212,3,30.0,29312.51287535935,488.54188125598915
0.05969249509970739,3,30.0,28643.072746902155,477.38454578170257
0.061087616075050394,3,30.0,27988.921314009694,466.48202190016156
0.06251534353689711,3,30.0,27349.70941295226,455.828490215871
0.06397643955748424,3,30.0,26725.095854212825,445.4182642368804
0.06547168402004742,3,30.0,26114.747240371664,435.24578733952774
0.0670018750350959,3,30.0,25518.33778815041,425.3056298025068
0.06856782936641738,3,30.0,24935.549154519686,415.59248590866144
0.07017038286703836,3,30.0,24366.07026677867,406.10117111297785
0.07181039092537356,3,30.0,23809.597156515203,396.8266192752534
0.07348872892180387,3,30.0,23265.8327973575,387.7638799559583
0.07520629269592408,3,30.0,22734.486946431854,378.90811577386427
0.0769639990247115,3,30.0,22215.27598944081,370.2545998240135
0.07876278611187063,3,30.0,21707.92278927945,361.79871315465755
0.08060361408861345,3,30.0,21212.156538109284,353.5359423018214
0.08248746552614582,3,30.0,20727.71261280996,345.46187688016596
0.08441534596012994,3,30.0,20254.332433732616,337.57220722887695
0.08638828442740452,3,30.0,19791.763326678996,329.8627221113166
0.08840733401525062,3,30.0,19339.75838803233,322.32930646720547
0.09047357242349294,3,30.0,18898.07635296877,314.96793921614614
0.09258810253973945,3,30.0,18466.481466678415,307.77469111130694
0.09475205302806548,3,30.0,18044.743358527387,300.7457226421231
0.0969665789314552,3,30.0,17632.636919094,293.8772819849
0.09923286228832545,3,30.0,17229.94218001279,287.16570300021317
0.10155211276345691,3,30.0,16836.44419656304,280.60740327605066
0.1039255682936713,3,30.0,16451.932932938686,274.19888221564474
0.10635449574860112,3,30.0,16076.203150138183,267.9367191689697
0.10884019160690077,3,30.0,15709.054296415026,261.8175716069171
0.11138398264826183,3,30.0,15350.290400230188,255.8381733371698
0.11398722666160525,3,30.0,14999.719965648832,249.99533276081385
0.11665131316981961,3,30.0,14657.155870126784,244.28593116877974
0.11937766417144356,3,30.0,14322.415264630521,238.70692107717534
0.1221677348996793,3,30.0,13995.31947603874,233.25532460064565
0.1250230145991456,3,30.0,13675.693911772816,227.92823186288027
0.12794502732078733,3,30.0,13363.367966605067,222.72279944341778
0.13093533273536123,3,30.0,13058.174931595573,217.6362488599262
0.1339955269659337,3,30.0,12759.95190510877,212.66586508514618
0.1371272434398401,3,30.0,12468.539705861773,207.80899509769623
0.14033215376054847,3,30.0,12183.782787959237,203.06304646598727
0.14361196859990774,3,30.0,11905.529157867957,198.42548596446596
0.14696843861124476,3,30.0,11633.630293288032,193.8938382214672
0.15040335536380253,3,30.0,11367.941063876759,189.46568439794598
0.15391855229902052,3,30.0,11108.31965378289,185.1386608963815
0.15751590570916243,3,30.0,10854.627485950228,180.91045809917048
0.16119733573881556,3,30.0,10606.729148150016,176.7788191358336
0.16496480740980207,3,30.0,10364.492320702251,172.74153867837086
0.16882033167003627,3,30.0,10127.787705848263,168.79646176413772
0.17276596646690348,3,30.0,9896.48895873574,164.94148264559564
0.17680381784572086,3,30.0,9670.47261998025,161.17454366633748
0.18093604107387168,3,30.0,9449.61804976688,157.49363416278132
0.18516484179121542,3,30.0,9233.807363456697,153.89678939094495
0.18949247718738235,3,30.0,9022.925368664015,150.3820894777336
0.1939212572065831,3,30.0,8816.859503770673,146.94765839617787
0.19845354578058033,3,30.0,8615.49977784438,143.59166296407298
0.2030917620904739,3,30.0,8418.738711929356,140.31231186548928
0.2078383818579755,3,30.0,8226.471281677797,137.10785469462996
0.2126959386668692,3,30.0,8038.594861291276,133.97658102152127
0.21766702531534593,3,30.0,7855.009168742828,130.91681947904712
0.22275429519995565,3,30.0,7675.616212249629,127.92693687082715
0.2279604637318982,3,30.0,7500.320237968407,125.00533729947345
0.23328830978641582,3,30.0,7329.027678885339,122.15046131475565
0.2387406771860647,3,30.0,7161.647104873082,119.36078508121803
0.24432047621864916,3,30.0,6998.089173888533,116.63481956480888
0.25003068519063215,3,30.0,6838.2665842851475,113.97110973808579
0.25587435201685893,3,30.0,6682.094028214155,111.36823380356924
0.2618545958474233,3,30.0,6529.48814609031,108.8248024348385
0.26797460873256895,3,30.0,6380.36748209726,106.33945803495433
0.27423765732649524,3,30.0,6234.652440709246,103.91087401182077
0.28064708463098387,3,30.0,6092.265244205773,101.53775407009623
0.28720631177978284,3,30.0,5953.129891156434,99.21883151927389
0.29391883986468903,3,30.0,5817.172115853976,96.95286859756627
0.3007882518043096,3,30.0,5684.319348673851,94.73865581123086
0.307818214256508,3,30.0,5554.500677338882,92.57501128898137
0.3150124795755328,3,30.0,5427.6468090688895,90.46078015114816
0.3223748878149027,3,30.0,5303.690033594422,88.39483389324036
0.32990936877709426,3,30.0,5182.564187015382,86.3760697835897
0.337619944111134,3,30.0,5064.204616485021,84.40341027475034
0.34551072945922184,3,30.0,4948.548145700384,82.47580242833973
0.35358593665351834,3,30.0,4835.533041180998,80.59221735301664
0.36184987596427426,3,30.0,4725.098979317674,78.75164965529457
0.3703069584005141,3,30.0,4617.187014173714,76.95311690289523
0.37896169806447233,3,30.0,4511.739546021711,75.19565910036185
0.387818714561072,3,30.0,4408.700290598718,73.47833817664531
0.3968827354637166,3,30.0,4308.014249063572,71.80023748439287
0.406158598837698,3,30.0,4209.627678640507,70.16046131067512
0.4156512558225988,3,30.0,4113.488063932993,68.55813439888321
0.4253657732750392,3,30.0,4019.544088892848,66.99240148154746
0.4353073364731892,3,30.0,3927.7456094295007,65.46242682382501
0.4454812518844989,3,30.0,3838.0436266447364,63.967393777412276
0.45589294999810687,3,30.0,3750.390260678783,62.50650434464638
0.46654798822344684,3,30.0,3664.738725153703,61.07897875256172
0.4774520538566131,3,30.0,3581.0433022003376,59.68405503667229
0.48861096711603264,3,30.0,3499.2593180557715,58.32098863426286
0.500030684249109,3,30.0,3419.34311921792,56.989051986965336
0.5117173007114609,3,30.0,3341.2520491448086,55.68753415241348
0.5236770544204655,3,30.0,3264.9444254859845,54.41574042476641
0.5359163290848515,3,30.0,3190.3795178338573,53.17299196389762
0.5484416576121027,3,30.0,3117.5175259832213,51.95862543305369
0.5612597255954966,3,30.0,3046.3195586872835,50.77199264478806
0.5743773748826587,3,30.0,2976.7476128987755,49.61246021497959
0.5878016072274912,3,30.0,2908.7645534853077,48.47940922475513
0.6015395880274833,3,30.0,2842.334093407835,47.372234890130585
0.6155986501483515,3,30.0,2777.420774351901,46.29034623919835
0.6299862978380693,3,30.0,2713.9899478012103,45.23316579668684
0.644710210732387,3,30.0,2652.0077565433985,44.200129275723306
0.6597782479539547,3,30.0,2591.4411165982287,43.19068527663715
0.6751984523072495,3,30.0,2532.2576995585064,42.20429499264177
0.6909790545715646,3,30.0,2474.4259153342223,41.240431922237036
0.7071284778942997,3,30.0,2417.9148952909145,40.29858158818191
0.7236553422869649,3,30.0,2362.694475772983,39.37824126288305
0.7405684692262442,3,30.0,2308.7351820033823,38.47891970005637
0.757876886362593,3,30.0,2256.008212351005,37.60013687251675
0.7755898323389002,3,30.0,2204.4854229573225,36.74142371595538
0.7937167617217559,3,30.0,2154.1393127141696,35.902321878569495
0.812267350047972,3,30.0,2104.9430085846006,35.08238347641001
0.8312514989890633,3,30.0,2056.870251258957,34.28117085431595
0.850679341636417,3,30.0,2009.8953811385525,33.498256352309205
0.8705612479099856,3,30.0,1963.993324639471,32.73322207732452
0.8909078300934142,3,30.0,1919.1395808090992,31.985659680151652
0.9117299484984921,3,30.0,1875.3102082484097,31.255170137473495
0.933038717262036,3,30.0,1832.4818123328134,30.541363538880223
0.9548455102782303,3,30.0,1790.6315327249235,29.843858878748726
0.9771619672696181,3,30.0,1749.7370311724978,29.162283852874964
1.0,3,30.0,1709.7764795850194,28.496274659750323
0.001,10,100.0,512932.94387550576,8548.882397925096
0.0010233717986325214,10,100.0,501218.56451478484,8353.642741913081
0.0010472898382363574,10,100.0,489771.7185333222,8162.86197555537
0.0010717668854455034,10,100.0,478586.29599504184,7976.43826658403
0.0010968160052731402,10,100.0,467656.3265027939,7794.272108379898
0.0011224505680853059,10,100.0,456975.9760115539,7616.266266859232
0.0011486842567375547,10,100.0,446539.54371440294,7442.325728573383
0.0011755310738783677,10,100.0,436341.4589996445,7272.357649994075
0.001203005349423324,10,100.0,426376.27847738727,7106.271307956455
0.001231121748203892,10,100.0,416638.6830740614,6943.978051234357
0.0012598952777950257,10,100.0,407123.47519327357,6785.391253221226
0.0012893412965257157,10,100.0,397825.575941502,6630.4262656917
0.0013194755216767086,10,100.0,388740.0224171662,6479.000373619437
0.0013503140378698722,10,100.0,379861.9650615943,6331.032751026572
0.0013818733056536335,10,100.0,371186.66507048975,6186.444417841496
0.0014141701702890211,10,100.0,362709.4918645294,6045.1581977421565
0.0014472218707411344,10,100.0,354425.9206177064,5907.098676961773
0.001481046048880677,10,100.0,346331.5298421427,5772.192164035712
0.0015156607589006013,10,100.0,338421.99902804533,5640.366650467422
0.0015510844769528404,10,100.0,330693.1063375609,5511.5517722926825
0.001587336111010212,10,100.0,323140.72635131143,5385.678772521857
0.0016244350109588654,10,100.0,315760.82786638144,5262.680464439691
0.0016624009789266137,10,100.0,308549.4717445959,5142.491195743265
0.0017012542798525857,10,100.0,301502.8088099515,5025.046813499192
0.0017410156523040153,10,100.0,294617.07779404713,4910.284629900785
0.0017817063195457324,10,100.0,287888.60332845664,4798.143388807611
0.0018233480008684386,10,100.0,281313.793982938,4688.563233048966
0.001865962923181746,10,100.0,274889.1403484472,4581.48567247412
0.0019095738328781004,10,100.0,268611.21316394233,4476.853552732372
0.0019542040079740513,10,100.0,262476.66148595716,4374.611024765953
0.001999877270535287,10,100.0,256482.21089997896,4274.703514999649
0.002046617999391994,10,100.0,250624.66177268405,4177.0776962114005
0.0020944511431514688,10,100.0,244900.8875440791,4081.681459067985
0.002143402233514859,10,100.0,239307.83305864737,3988.4638843107896
0.0021934973989050557,10,100.0,233842.51293461773,3897.375215576962
0.002244763378413224,10,100.0,228502.00997046172,3808.3668328410286
0.002297227536071156,10,100.0,223283.4735877978,3721.391226463297
0.0023509178754572845,10,100.0,218184.11830984676,3636.4019718307795
0.002405863054644067,10,100.0,213201.22227463656,3553.353704577276
0.0024620924014946304,10,100.0,208332.12578217057,3472.2020963695095
